2024-01-19 12:13:12,957 INFO    StreamThr :93150 [internal.py:wandb_internal():86] W&B internal server running at pid: 93150, started at: 2024-01-19 12:13:12.956701
2024-01-19 12:13:12,958 DEBUG   HandlerThread:93150 [handler.py:handle_request():146] handle_request: status
2024-01-19 12:13:12,958 INFO    WriterThread:93150 [datastore.py:open_for_write():87] open: /home/robertthomas/rileyProject/demucs/wandb/run-20240119_121312-467ivkat/run-467ivkat.wandb
2024-01-19 12:13:12,958 DEBUG   SenderThread:93150 [sender.py:send():382] send: header
2024-01-19 12:13:12,974 DEBUG   SenderThread:93150 [sender.py:send():382] send: run
2024-01-19 12:13:13,514 INFO    SenderThread:93150 [dir_watcher.py:__init__():211] watching files in: /home/robertthomas/rileyProject/demucs/wandb/run-20240119_121312-467ivkat/files
2024-01-19 12:13:13,514 INFO    SenderThread:93150 [sender.py:_start_run_threads():1136] run started: 467ivkat with start time 1705684392.956919
2024-01-19 12:13:13,517 DEBUG   HandlerThread:93150 [handler.py:handle_request():146] handle_request: check_version
2024-01-19 12:13:13,517 DEBUG   SenderThread:93150 [sender.py:send_request():409] send_request: check_version
2024-01-19 12:13:13,585 DEBUG   HandlerThread:93150 [handler.py:handle_request():146] handle_request: run_start
2024-01-19 12:13:13,601 DEBUG   HandlerThread:93150 [system_info.py:__init__():27] System info init
2024-01-19 12:13:13,601 DEBUG   HandlerThread:93150 [system_info.py:__init__():42] System info init done
2024-01-19 12:13:13,601 INFO    HandlerThread:93150 [system_monitor.py:start():194] Starting system monitor
2024-01-19 12:13:13,602 INFO    SystemMonitor:93150 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-19 12:13:13,602 INFO    HandlerThread:93150 [system_monitor.py:probe():214] Collecting system info
2024-01-19 12:13:13,602 INFO    SystemMonitor:93150 [interfaces.py:start():190] Started cpu monitoring
2024-01-19 12:13:13,602 INFO    SystemMonitor:93150 [interfaces.py:start():190] Started disk monitoring
2024-01-19 12:13:13,603 INFO    SystemMonitor:93150 [interfaces.py:start():190] Started gpu monitoring
2024-01-19 12:13:13,603 INFO    SystemMonitor:93150 [interfaces.py:start():190] Started memory monitoring
2024-01-19 12:13:13,604 INFO    SystemMonitor:93150 [interfaces.py:start():190] Started network monitoring
